region,country,year,event_type,num_events,sum(fatalities)
Southern Asia,Bangladesh,2010,Violence against civilians,425,275
Southern Asia,Bangladesh,2010,Strategic developments,75,0
Southern Asia,Bangladesh,2010,Riots,1137,156
Southern Asia,Bangladesh,2010,Protests,576,1
Southern Asia,Bangladesh,2010,Explosions/Remote violence,50,18
Southern Asia,Bangladesh,2010,Battles,351,163
Southern Asia,Bangladesh,2011,Violence against civilians,408,271
Southern Asia,Bangladesh,2011,Strategic developments,38,0
Southern Asia,Bangladesh,2011,Riots,907,138
Southern Asia,Bangladesh,2011,Protests,639,1
Southern Asia,Bangladesh,2011,Explosions/Remote violence,32,4
Southern Asia,Bangladesh,2011,Battles,294,159
Southern Asia,Bangladesh,2012,Violence against civilians,340,213
Southern Asia,Bangladesh,2012,Strategic developments,30,0
Southern Asia,Bangladesh,2012,Riots,820,168
Southern Asia,Bangladesh,2012,Protests,463,6
Southern Asia,Bangladesh,2012,Explosions/Remote violence,18,6
Southern Asia,Bangladesh,2012,Battles,177,78
Southern Asia,Bangladesh,2013,Violence against civilians,398,252
Southern Asia,Bangladesh,2013,Strategic developments,25,2
Southern Asia,Bangladesh,2013,Riots,1736,388
Southern Asia,Bangladesh,2013,Protests,350,12
Southern Asia,Bangladesh,2013,Explosions/Remote violence,26,8
Southern Asia,Bangladesh,2013,Battles,203,151
Southern Asia,Bangladesh,2014,Violence against civilians,253,144
Southern Asia,Bangladesh,2014,Strategic developments,8,1
Southern Asia,Bangladesh,2014,Riots,511,125
Southern Asia,Bangladesh,2014,Protests,143,1
Southern Asia,Bangladesh,2014,Explosions/Remote violence,6,0
Southern Asia,Bangladesh,2014,Battles,199,120
Southern Asia,Bangladesh,2015,Violence against civilians,184,117
Southern Asia,Bangladesh,2015,Strategic developments,26,0
Southern Asia,Bangladesh,2015,Riots,1167,249
Southern Asia,Bangladesh,2015,Protests,353,1
Southern Asia,Bangladesh,2015,Explosions/Remote violence,41,9
Southern Asia,Bangladesh,2015,Battles,137,127
Southern Asia,Bangladesh,2016,Violence against civilians,140,119
Southern Asia,Bangladesh,2016,Strategic developments,6,0
Southern Asia,Bangladesh,2016,Riots,266,100
Southern Asia,Bangladesh,2016,Protests,268,3
Southern Asia,Bangladesh,2016,Explosions/Remote violence,8,2
Southern Asia,Bangladesh,2016,Battles,129,195
Southern Asia,Bangladesh,2017,Violence against civilians,65,50
Southern Asia,Bangladesh,2017,Strategic developments,11,1
Southern Asia,Bangladesh,2017,Riots,149,33
Southern Asia,Bangladesh,2017,Protests,256,0
Southern Asia,Bangladesh,2017,Explosions/Remote violence,15,43
Southern Asia,Bangladesh,2017,Battles,91,122
Southern Asia,Bangladesh,2018,Violence against civilians,206,119
Southern Asia,Bangladesh,2018,Strategic developments,7,0
Southern Asia,Bangladesh,2018,Riots,461,62
Southern Asia,Bangladesh,2018,Protests,496,0
Southern Asia,Bangladesh,2018,Battles,72,70
Southern Asia,Bangladesh,2019,Violence against civilians,207,162
Southern Asia,Bangladesh,2019,Strategic developments,13,0
Southern Asia,Bangladesh,2019,Riots,341,100
Southern Asia,Bangladesh,2019,Protests,659,1
Southern Asia,Bangladesh,2019,Explosions/Remote violence,4,1
Southern Asia,Bangladesh,2019,Battles,86,56
Southern Asia,India,2016,Violence against civilians,484,300
Southern Asia,India,2016,Strategic developments,121,8
Southern Asia,India,2016,Riots,2086,198
Southern Asia,India,2016,Protests,9688,88
Southern Asia,India,2016,Explosions/Remote violence,228,69
Southern Asia,India,2016,Battles,693,1007
Southern Asia,India,2017,Violence against civilians,618,317
Southern Asia,India,2017,Strategic developments,100,2
