country,iso3,year,sum_fatalities,population_mil,fatalities_per_million
Bangladesh,BGD,2010,613,147.57543,4.153807988226766
Bangladesh,BGD,2011,573,149.273778,3.8385844297449214
Bangladesh,BGD,2012,471,151.007807,3.1190440372397434
Bangladesh,BGD,2013,813,152.764676,5.321910937054584
Bangladesh,BGD,2014,391,154.520167,2.5304140397414923
Bangladesh,BGD,2015,503,156.256276,3.219070701518574
Bangladesh,BGD,2016,419,157.97084,2.6523882508949117
Bangladesh,BGD,2017,249,159.670593,1.5594606077526123
Bangladesh,BGD,2018,251,161.356039,1.5555661973085493
Bangladesh,BGD,2019,320,null,null
India,IND,2016,1670,1324.509589,1.2608440239838838
India,IND,2017,1444,1338.658835,1.078691569685864
India,IND,2018,2103,1352.617328,1.554763462264325
India,IND,2019,1240,null,null
Nepal,NPL,2010,41,27.013212,1.517775820217159
Nepal,NPL,2011,14,27.041437,0.5177239656309686
Nepal,NPL,2012,21,26.989862,0.778069928627275
Nepal,NPL,2013,6,26.917906,0.22289995365909965
Nepal,NPL,2014,6,26.906926,0.22299091319461764
Nepal,NPL,2015,51,27.015031,1.8878379225254267
Nepal,NPL,2016,8,27.261131,0.29345811074382794
Nepal,NPL,2017,18,27.627124,0.6515336160217039
Nepal,NPL,2018,13,28.087871,0.4628332279082313
Nepal,NPL,2019,34,null,null
Pakistan,PAK,2010,7539,179.424641,42.017640152335595
Pakistan,PAK,2011,4314,183.340592,23.529977474928195
Pakistan,PAK,2012,6073,187.281475,32.427126067861224
Pakistan,PAK,2013,4238,191.262919,22.157980345369506
Pakistan,PAK,2014,5272,195.306825,26.99342432093707
Pakistan,PAK,2015,4517,199.426964,22.64989602910467
Pakistan,PAK,2016,2205,203.627284,10.828607820551198
Pakistan,PAK,2017,1745,207.896686,8.393592190305526
Pakistan,PAK,2018,1228,212.21503,5.7865835421741805
Pakistan,PAK,2019,912,null,null
Sri Lanka,LKA,2010,28,20.261737,1.381915084575424
Sri Lanka,LKA,2011,25,20.39867,1.2255700984426927
Sri Lanka,LKA,2012,39,20.425,1.9094247246022031
Sri Lanka,LKA,2013,15,20.585,0.7286859363614282
Sri Lanka,LKA,2014,7,20.778,0.33689479256906346
Sri Lanka,LKA,2015,9,20.97,0.4291845493562232
Sri Lanka,LKA,2016,4,21.203,0.18865254916757063
Sri Lanka,LKA,2017,2,21.444,0.09326618168252192
Sri Lanka,LKA,2018,26,21.67,1.1998154130133825
Sri Lanka,LKA,2019,295,null,null
