country,iso3,year,event_type,sum_fatalities_per_event,sum_fatalities,population_mil,fatalities_per_million,fatalities_per_million_per_event,year,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Regulatory Quality,Rule of Law,Voice and Accountability
Pakistan,PAK,2014,Violence against civilians,639,5272,195.306825,26.993424320937066,3.2717750646962798,2014,-0.833834,-0.7550009,-2.4012792,-0.6828627,-0.7603385,-0.71602386
Pakistan,PAK,2014,Riots,53,5272,195.306825,26.993424320937066,0.27136788486526264,2014,-0.833834,-0.7550009,-2.4012792,-0.6828627,-0.7603385,-0.71602386
Pakistan,PAK,2014,Explosions/Remote violence,2826,5272,195.306825,26.993424320937066,14.469540426966645,2014,-0.833834,-0.7550009,-2.4012792,-0.6828627,-0.7603385,-0.71602386
Pakistan,PAK,2014,Strategic developments,0,5272,195.306825,26.993424320937066,0,2014,-0.833834,-0.7550009,-2.4012792,-0.6828627,-0.7603385,-0.71602386
Pakistan,PAK,2014,Protests,0,5272,195.306825,26.993424320937066,0,2014,-0.833834,-0.7550009,-2.4012792,-0.6828627,-0.7603385,-0.71602386
Pakistan,PAK,2014,Battles,1754,5272,195.306825,26.993424320937066,8.98074094440888,2014,-0.833834,-0.7550009,-2.4012792,-0.6828627,-0.7603385,-0.71602386
Pakistan,PAK,2011,Protests,2,4314,183.340592,23.52997747492819,0.010908659005529993,2011,-1.076292,-0.8179008,-2.8100355,-0.6340992,-0.901871,-0.82919943
Pakistan,PAK,2011,Explosions/Remote violence,1991,4314,183.340592,23.52997747492819,10.859570040005108,2011,-1.076292,-0.8179008,-2.8100355,-0.6340992,-0.901871,-0.82919943
Pakistan,PAK,2011,Battles,1814,4314,183.340592,23.52997747492819,9.894153718015703,2011,-1.076292,-0.8179008,-2.8100355,-0.6340992,-0.901871,-0.82919943
Pakistan,PAK,2011,Strategic developments,0,4314,183.340592,23.52997747492819,0,2011,-1.076292,-0.8179008,-2.8100355,-0.6340992,-0.901871,-0.82919943
Pakistan,PAK,2011,Violence against civilians,490,4314,183.340592,23.52997747492819,2.672621456354848,2011,-1.076292,-0.8179008,-2.8100355,-0.6340992,-0.901871,-0.82919943
Pakistan,PAK,2011,Riots,17,4314,183.340592,23.52997747492819,0.09272360154700494,2011,-1.076292,-0.8179008,-2.8100355,-0.6340992,-0.901871,-0.82919943
Nepal,NPL,2012,Strategic developments,0,21,26.989862,0.778069928627275,0,2012,-0.81300724,-0.9826987,-1.3812323,-0.7998764,-0.73570275,-0.6423635
Nepal,NPL,2012,Violence against civilians,4,21,26.989862,0.778069928627275,0.14820379592900476,2012,-0.81300724,-0.9826987,-1.3812323,-0.7998764,-0.73570275,-0.6423635
Nepal,NPL,2012,Explosions/Remote violence,14,21,26.989862,0.778069928627275,0.5187132857515167,2012,-0.81300724,-0.9826987,-1.3812323,-0.7998764,-0.73570275,-0.6423635
Nepal,NPL,2012,Protests,0,21,26.989862,0.778069928627275,0,2012,-0.81300724,-0.9826987,-1.3812323,-0.7998764,-0.73570275,-0.6423635
Nepal,NPL,2012,Riots,2,21,26.989862,0.778069928627275,0.07410189796450238,2012,-0.81300724,-0.9826987,-1.3812323,-0.7998764,-0.73570275,-0.6423635
Nepal,NPL,2012,Battles,1,21,26.989862,0.778069928627275,0.03705094898225119,2012,-0.81300724,-0.9826987,-1.3812323,-0.7998764,-0.73570275,-0.6423635
Sri Lanka,LKA,2015,Strategic developments,0,9,20.97,0.4291845493562232,0,2015,-0.34415537,-0.00925624,0.090368114,-0.052957598,0.03732111,-0.2961408
Sri Lanka,LKA,2015,Riots,2,9,20.97,0.4291845493562232,0.09537434430138293,2015,-0.34415537,-0.00925624,0.090368114,-0.052957598,0.03732111,-0.2961408
Sri Lanka,LKA,2015,Violence against civilians,3,9,20.97,0.4291845493562232,0.1430615164520744,2015,-0.34415537,-0.00925624,0.090368114,-0.052957598,0.03732111,-0.2961408
Sri Lanka,LKA,2015,Battles,1,9,20.97,0.4291845493562232,0.047687172150691466,2015,-0.34415537,-0.00925624,0.090368114,-0.052957598,0.03732111,-0.2961408
Sri Lanka,LKA,2015,Protests,1,9,20.97,0.4291845493562232,0.047687172150691466,2015,-0.34415537,-0.00925624,0.090368114,-0.052957598,0.03732111,-0.2961408
Sri Lanka,LKA,2015,Explosions/Remote violence,2,9,20.97,0.4291845493562232,0.09537434430138293,2015,-0.34415537,-0.00925624,0.090368114,-0.052957598,0.03732111,-0.2961408
Nepal,NPL,2018,Violence against civilians,7,13,28.087871,0.46283322790823134,0.24921789195058608,2018,-0.6736505,-0.9023383,-0.62514585,-0.74565333,-0.47805277,-0.1319581
Nepal,NPL,2018,Strategic developments,0,13,28.087871,0.46283322790823134,0,2018,-0.6736505,-0.9023383,-0.62514585,-0.74565333,-0.47805277,-0.1319581
Nepal,NPL,2018,Explosions/Remote violence,0,13,28.087871,0.46283322790823134,0,2018,-0.6736505,-0.9023383,-0.62514585,-0.74565333,-0.47805277,-0.1319581
Nepal,NPL,2018,Riots,4,13,28.087871,0.46283322790823134,0.14241022397176348,2018,-0.6736505,-0.9023383,-0.62514585,-0.74565333,-0.47805277,-0.1319581
Nepal,NPL,2018,Battles,2,13,28.087871,0.46283322790823134,0.07120511198588174,2018,-0.6736505,-0.9023383,-0.62514585,-0.74565333,-0.47805277,-0.1319581
Nepal,NPL,2018,Protests,0,13,28.087871,0.46283322790823134,0,2018,-0.6736505,-0.9023383,-0.62514585,-0.74565333,-0.47805277,-0.1319581
Pakistan,PAK,2012,Protests,14,6073,187.281475,32.427126067861224,0.07475378971678859,2012,-1.0629243,-0.7779331,-2.6770036,-0.7171134,-0.88422126,-0.84358215
Pakistan,PAK,2012,Explosions/Remote violence,2453,6073,187.281475,32.427126067861224,13.09793186966303,2012,-1.0629243,-0.7779331,-2.6770036,-0.7171134,-0.88422126,-0.84358215
Pakistan,PAK,2012,Riots,84,6073,187.281475,32.427126067861224,0.4485227383007316,2012,-1.0629243,-0.7779331,-2.6770036,-0.7171134,-0.88422126,-0.84358215
Pakistan,PAK,2012,Strategic developments,16,6073,187.281475,32.427126067861224,0.08543290253347267,2012,-1.0629243,-0.7779331,-2.6770036,-0.7171134,-0.88422126,-0.84358215
Pakistan,PAK,2012,Violence against civilians,1042,6073,187.281475,32.427126067861224,5.5638177774924085,2012,-1.0629243,-0.7779331,-2.6770036,-0.7171134,-0.88422126,-0.84358215
Pakistan,PAK,2012,Battles,2464,6073,187.281475,32.427126067861224,13.156666990154793,2012,-1.0629243,-0.7779331,-2.6770036,-0.7171134,-0.88422126,-0.84358215
Bangladesh,BGD,2010,Battles,163,613,147.57543,4.153807988226767,1.104519905515437,2010,-1.0571207,-0.73563254,-1.4257895,-0.8470868,-0.8029345,-0.26809528
Bangladesh,BGD,2010,Protests,1,613,147.57543,4.153807988226767,0.006776195739358509,2010,-1.0571207,-0.73563254,-1.4257895,-0.8470868,-0.8029345,-0.26809528
Bangladesh,BGD,2010,Explosions/Remote violence,18,613,147.57543,4.153807988226767,0.12197152330845316,2010,-1.0571207,-0.73563254,-1.4257895,-0.8470868,-0.8029345,-0.26809528
Bangladesh,BGD,2010,Riots,156,613,147.57543,4.153807988226767,1.0570865353399275,2010,-1.0571207,-0.73563254,-1.4257895,-0.8470868,-0.8029345,-0.26809528
Bangladesh,BGD,2010,Strategic developments,0,613,147.57543,4.153807988226767,0,2010,-1.0571207,-0.73563254,-1.4257895,-0.8470868,-0.8029345,-0.26809528
Bangladesh,BGD,2010,Violence against civilians,275,613,147.57543,4.153807988226767,1.86345382832359,2010,-1.0571207,-0.73563254,-1.4257895,-0.8470868,-0.8029345,-0.26809528
Bangladesh,BGD,2012,Strategic developments,0,471,151.007807,3.119044037239743,0,2012,-0.8498433,-0.80416536,-1.379089,-0.95140505,-0.9293042,-0.4019407
Bangladesh,BGD,2012,Battles,78,471,151.007807,3.119044037239743,0.5165295857849256,2012,-0.8498433,-0.80416536,-1.379089,-0.95140505,-0.9293042,-0.4019407
Bangladesh,BGD,2012,Explosions/Remote violence,6,471,151.007807,3.119044037239743,0.0397330450603789,2012,-0.8498433,-0.80416536,-1.379089,-0.95140505,-0.9293042,-0.4019407
Bangladesh,BGD,2012,Violence against civilians,213,471,151.007807,3.119044037239743,1.4105230996434508,2012,-0.8498433,-0.80416536,-1.379089,-0.95140505,-0.9293042,-0.4019407
Bangladesh,BGD,2012,Protests,6,471,151.007807,3.119044037239743,0.0397330450603789,2012,-0.8498433,-0.80416536,-1.379089,-0.95140505,-0.9293042,-0.4019407
Bangladesh,BGD,2012,Riots,168,471,151.007807,3.119044037239743,1.112525261690609,2012,-0.8498433,-0.80416536,-1.379089,-0.95140505,-0.9293042,-0.4019407
India,IND,2016,Battles,1007,1670,1324.509589,1.2608440239838838,0.7602813964980665,2016,-0.28225765,0.07518322,-0.95383984,-0.30650502,-0.028877169,0.44018736
India,IND,2016,Protests,88,1670,1324.509589,1.2608440239838838,0.06643968509615675,2016,-0.28225765,0.07518322,-0.95383984,-0.30650502,-0.028877169,0.44018736
India,IND,2016,Riots,198,1670,1324.509589,1.2608440239838838,0.14948929146635268,2016,-0.28225765,0.07518322,-0.95383984,-0.30650502,-0.028877169,0.44018736
India,IND,2016,Strategic developments,8,1670,1324.509589,1.2608440239838838,0.006039971372377886,2016,-0.28225765,0.07518322,-0.95383984,-0.30650502,-0.028877169,0.44018736
India,IND,2016,Explosions/Remote violence,69,1670,1324.509589,1.2608440239838838,0.05209475308675927,2016,-0.28225765,0.07518322,-0.95383984,-0.30650502,-0.028877169,0.44018736
India,IND,2016,Violence against civilians,300,1670,1324.509589,1.2608440239838838,0.22649892646417072,2016,-0.28225765,0.07518322,-0.95383984,-0.30650502,-0.028877169,0.44018736
Nepal,NPL,2011,Battles,4,14,27.041437,0.5177239656309686,0.14792113303741958,2011,-0.77893573,-0.9025553,-1.4164436,-0.7225809,-0.8867433,-0.4451258
Nepal,NPL,2011,Violence against civilians,4,14,27.041437,0.5177239656309686,0.14792113303741958,2011,-0.77893573,-0.9025553,-1.4164436,-0.7225809,-0.8867433,-0.4451258
