year,country,admin1_count_1_fatalities,admin1_count_2_fatalities,admin1_count_3_fatalities,admin1_count_4_fatalities,admin1_count_5_fatalities
2010,Bangladesh,0.125,0.125,0.125,0.125,0.125
2011,Bangladesh,0.375,0.375,0.375,0.375,0.375
2012,Bangladesh,0.25,0.25,0.25,0.25,0.25
2013,Bangladesh,0.625,0.625,0.625,0.625,0.625
2014,Bangladesh,0.125,0.125,0.125,0.125,0.125
2015,Bangladesh,0.25,0.25,0.25,0.25,0.25
2016,Bangladesh,0.25,0.25,0.25,0.25,0.25
2017,Bangladesh,0.5,0.5,0.5,0.5,0.5
2018,Bangladesh,0.125,0.125,0.125,0.125,0.125
2019,Bangladesh,0.125,0.125,0.125,0.125,0.125
2016,India,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
2017,India,0.416666667,0.416666667,0.416666667,0.416666667,0.416666667
2018,India,0.305555556,0.305555556,0.305555556,0.305555556,0.305555556
2019,India,0.25,0.25,0.25,0.25,0.25
2012,Nepal,0.2,0.2,0.2,0.2,0.2
2015,Nepal,0.4,0.4,0.4,0.4,0.4
2019,Nepal,0.2,0.2,0.2,0.2,0.2
2010,Pakistan,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
2011,Pakistan,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556
2012,Pakistan,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
2013,Pakistan,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
2014,Pakistan,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
2015,Pakistan,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556
2016,Pakistan,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
2017,Pakistan,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556
2018,Pakistan,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556
2019,Pakistan,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444
2012,Sri Lanka,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
2019,Sri Lanka,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222
